Lightning-Browser,"97,94%","40,00%","37,33%","52,22%","1,46%","100,00%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Lightning-Browser,"4,22222222222222","1,25","3,08333333333333","0,305555555555556","33,1666666666667","27,3055555555556"
Package,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec)
,904,18074,904,18074,0,0
Lucid Browser,"602,466666666667","1431,25","602,466666666667","1431,25",0,0
Package,LOC,LOC(rec),LOCp,LOCp(rec),LOCt,LOCt(rec),,,,,
Project,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
project,44,879,7942,0,9326,18618,18074,0,17176,17028,0
MOOD metrics,Qui, 22 ago 2019 18:21:54 BRT
Project,AHF,AIF,CF,MHF,MIF,PF
project,"56,49%","87,44%","38,44%","25,83%","12,25%","416,67%"

Class,CBO,DIT,LCOM,NOC,RFC,WMC
Lucid Browser,"7,46153846153846","3,19230769230769","1,73076923076923","0,076923076923077","30,5555555555556","23,1923076923077"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Lynket Browser,"276,369565217391","1022,57971014493","272,072463768116","1003,76086956522","4,29710144927536","18,8188405797101"
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Lynket Browser,269,92,16607,10042,11611,40009,37546,593,29823,28408,372
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Lynket Browser,"69,70%","87,28%","6,27%","42,75%","8,47%","130,08%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Lynket Browser,"4,92857142857143","1,8956043956044","1,62637362637363","0,21978021978022","20,1813186813187","10,978021978022"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Midori-Web-Browser,"84,1428571428571","167,571428571429","84,1428571428571","167,571428571429",0,0
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Midori-Web-Browser,53,0,0,292,684,1443,589,0,1047,582,0
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Midori-Web-Browser,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%"
Navegadores,CBO,DIT,LCOM,NOC,RFC,WMC
Midori-Web-Browser,0,0,0,0,0,0
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Opera com VPN gratuita,"401,25","2084,5","401,25","2084,5",0,0
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Opera com VPN gratuita,31,0,3192,0,40,3534,3210,0,2020,1975,0
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Opera com VPN gratuita,"58,03%","60,59%","27,89%","15,54%","41,79%","26,49%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Opera com VPN gratuita,"3,81818181818182","2,72727272727273","1,90909090909091","0,590909090909091","15,2272727272727","13,3181818181818"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Orfox Browser,"56,6666666666667","68,25","50,8333333333333","55,125","5,83333333333333","13,125"
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Orfox Browser,48,0,103,0,366,4633,305,35,538,305,24
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Orfox Browser,"30,00%","92,19%","66,67%","14,29%","0,00%","100,00%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Orfox Browser,"0,666666666666667","3,33333333333333","1,33333333333333",0,8,"3,33333333333333"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
Pale Moon,"1349,64505119454","3635,75767918089","1349,64505119454","3635,75767918089",0,0
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
Pale Moon,333,1526672,321126,0,261111,15144234,461268,0,5603803,255986,0
Navegadores,AHF,AIF,CF,MHF,MIF,PF
Pale Moon,"67,47%","17,50%","0,49%","43,73%","23,50%","10,88%"
Navegadores,CBO - Média,DIT – Média,LCOM – Média,NOC – Média,RFC – Média,WMC – Média
Pale Moon,"6,12252193695158","1,12609684757881","1,51348716282093","0,356841078973026","13,4228144296393","12,7510562235944"
Navegadores,LOC (Média por pacote),LOC(rec)(Média por pacote),LOCp (Média por pacote),LOCp(rec) (Média por pacote),LOCt (Média por pacote),LOCt(rec) (Média por pacote)
PrivacyBrowser,"6466,29411764706","8608,73529411765","6466,29411764706","8608,73529411765",0,0
Navegadores,L(Groovy),L(HTML),L(J),L(KT),L(XML),LOC,LOCp,LOCt,NCLOC,NCLOCp,NCLOCt
PrivacyBrowser,109,27172,24281,0,13445,222181,219854,0,52913,52622,0
Navegadores,AHF,AIF,CF,MHF,MIF,PF
